title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Terreno En Venta  - Monte Grande;1.0;70000;1.6;Jacaranda Al 200, Monte Grande, Mo...;https://terreno.mercadolibre.com.ar/MLA-1420426248-terreno-en-venta-monte-grande-_JM#position=34&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_810732-MLA69497626720_052023-W.jpg;2023-10-20;;
Nave Industrial En Alquiler En Monte Grande;6.0;6100;0.0009836065573770492;Nave Industrial En Alquiler En Mon...;https://inmueble.mercadolibre.com.ar/MLA-1380860849-nave-industrial-en-alquiler-en-monte-grande-_JM#position=25&search_layout=grid&type=item&tracking_id=17076fdf-5c14-4158-b591-4be35a1810e7;https://http2.mlstatic.com/D_NQ_NP_714902-MLA70770385582_072023-W.jpg;2023-10-19;4 baños;
Terreno Centrico Unico Ideal Emprendimiento Inmobiliario;1.0;769;0.0013003901170351106;Ing Jorge Duclout Entre Narciso La...;https://terreno.mercadolibre.com.ar/MLA-1530366616-terreno-centrico-unico-ideal-emprendimiento-inmobiliario-_JM#position=41&search_layout=grid&type=item&tracking_id=6e857e44-0342-48e6-aa75-dc59dac96669;https://http2.mlstatic.com/D_NQ_NP_950267-MLA72065583150_102023-W.jpg;2023-10-19;;
Terreno Centrico Unico Ideal Emprendimiento Inmobiliario;1.0;135;0.007407407407407408;Ing Jorge Duclout Entre Narciso La...;https://inmueble.mercadolibre.com.ar/MLA-1391506197-terreno-centrico-unico-ideal-emprendimiento-inmobiliario-_JM#position=40&search_layout=grid&type=item&tracking_id=6e857e44-0342-48e6-aa75-dc59dac96669;https://http2.mlstatic.com/D_NQ_NP_931778-MLA72127717339_102023-W.jpg;2023-10-19;;
Vendo Casa 3 Ambientes Todos Los Servicios Escritura Al Dia;60000.0;1111111;0.05400000540000054;Vicente Lopez 1600, Monte Grande, ...;https://casa.mercadolibre.com.ar/MLA-1513287246-vendo-casa-3-ambientes-todos-los-servicios-escritura-al-dia-_JM#position=46&search_layout=grid&type=item&tracking_id=de87ff7f-e3d9-47a1-bc9b-a9f699d42acd;https://http2.mlstatic.com/D_NQ_NP_654742-MLA71797712572_092023-W.jpg;2023-10-19;1 baño;
Casa  En Venta En Monte Grande, Esteban Echeverría, G.b.a. Zona Sur;140000.0;1600000;0.0875;Azcuenaga 1000, Monte Grande, Este...;https://casa.mercadolibre.com.ar/MLA-1392607187-casa-en-venta-en-monte-grande-esteban-echeverria-gba-zona-sur-_JM#position=45&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_713781-MLA72245433830_102023-W.jpg;2023-10-19;3 baños;
Importante Supermercado En Venta - Monte Grande;1200.0;835;1.437125748502994;Rodriguez Esq. Cardeza, Monte Gran...;https://inmueble.mercadolibre.com.ar/MLA-1527031298-importante-supermercado-en-venta-monte-grande-_JM#position=47&search_layout=grid&type=item&tracking_id=17076fdf-5c14-4158-b591-4be35a1810e7;https://http2.mlstatic.com/D_NQ_NP_846021-MLA72075265079_102023-W.jpg;2023-10-19;4 baños;
Edificio Comercial Sobre Alem Al 100 - Monte Grande;1600.0;755;2.119205298013245;Alem Al 100, Monte Grande, Esteban...;https://inmueble.mercadolibre.com.ar/MLA-1137523947-edificio-comercial-sobre-alem-al-100-monte-grande-_JM#position=2&search_layout=grid&type=item&tracking_id=5a04b11b-320f-4e9d-a533-bc33b993a718;https://http2.mlstatic.com/D_NQ_NP_654267-MLA49971564246_052022-W.jpg;2023-10-19;;
Casa En Alquiler Monte Grande;900.0;340;2.6470588235294117;El Rodal, Monte Grande, Esteban Ec...;https://casa.mercadolibre.com.ar/MLA-1531907020-casa-en-alquiler-monte-grande-_JM#position=25&search_layout=grid&type=item&tracking_id=34a0146d-8ff8-4da4-a44b-4dddafa63945;https://http2.mlstatic.com/D_NQ_NP_647389-MLA72272351522_102023-W.jpg;2023-10-19;3 baños;
Departamento En Alquiler - Monte Grande;400.0;120;3.3333333333333335;Azcuenaga 255, Monte Grande, Esteb...;https://departamento.mercadolibre.com.ar/MLA-1495901598-departamento-en-alquiler-monte-grande-_JM#position=40&search_layout=grid&type=item&tracking_id=13800304-7dc6-4c99-bf49-06248a585521;https://http2.mlstatic.com/D_NQ_NP_875432-MLA71471421404_092023-W.jpg;2023-10-19;2 baños;
